Speaker,Phr_tagged,Phr,Int,Double,Adj,Lex_Adj,Adj_type,Noun,Verb,Inf_Verb,Number,Syllable,Age,Gender,Transcript_date,Birth_year,Edu,Generation,Job
CART19,bien_ADV_bien elegantes_ADJ_elegante ._PUNCT_.,bien elegantes .,bien,/,elegantes,elegante,ambiguous,/,/,/,CART19_118,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,aquí_ADV_aquí el_DET_el plato_NOUN_plato típico_ADJ_típico es_AUX_ser el_DET_el arroz_NOUN_arroz con_ADP_con coco_PROPN_coco _PUNCT_,aquí el plato típico es el arroz con coco ,/,/,típico,típico,attributive,plato,es,ser,CART19_119,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,la_DET_el bandeja_NOUN_bandeja paisa_PROPN_paisa es_AUX_ser sabrosa_ADJ_sabroso _PUNCT_,la bandeja paisa es sabrosa ,/,/,sabrosa,sabroso,predicative,/,es,ser,CART19_120,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,bastante_ADV_bastante vitaminas_ADJ_vitamina _PUNCT_,bastante vitaminas ,bastante,/,vitaminas,vitamino,ambiguous,/,/,/,CART19_121,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,eso_PRON_ese es_AUX_ser bueno_ADJ_bueno _PUNCT_,eso es bueno ,/,/,bueno,bueno,predicative,/,es,ser,CART19_122,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,"""_PUNCT_"" ¡_PUNCT_¡ ah_NOUN_ah bueno_ADJ_bueno !_PUNCT_!",""" ¡ ah bueno !",/,/,bueno,bueno,attributive,ah,/,/,CART19_123,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,yo_PRON_yo salí_VERB_salir a_ADP_a las_DET_el once_NUM_once de_ADP_de la_DET_el noche_NOUN_noche y_CCONJ_y yo_PRON_yo dije_VERB_decir que_SCONJ_que venía_VERB_venir temprano_ADV_temprano y_CCONJ_y llegué_VERB_llegar temprano_ADV_temprano porque_SCONJ_porque llegué_VERB_llegar a_ADP_a las_DET_el seis_NUM_seis de_ADP_de la_DET_el mañana_NOUN_mañana del_ADP_del día_NOUN_día siguiente_ADJ_siguiente ._PUNCT_.,yo salí a las once de la noche y yo dije que venía temprano y llegué temprano porque llegué a las seis de la mañana del día siguiente .,/,/,siguiente,siguiente,attributive,día,llegué,llegar,CART19_124,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,llegué_VERB_llegar a_ADP_a las_DET_el seis_NUM_seis de_ADP_de la_DET_el mañana_NOUN_mañana y_CCONJ_y todavía_ADV_todavía eso_PRON_ese estaba_AUX_estar prendido_ADJ_prendido _PUNCT_,llegué a las seis de la mañana y todavía eso estaba prendido ,/,/,prendido,prendido,predicative,/,estaba,estar,CART19_125,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,h_NOUN_h listo_ADJ_listo !_PUNCT_!,h listo !,/,/,listo,listo,attributive,h,/,/,CART19_126,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,a_ADP_a nivel_NOUN_nivel familiar_ADJ_familiar _PUNCT_,a nivel familiar ,/,/,familiar,familiar,attributive,nivel,/,/,CART19_127,3,34,hombre,2010,1976,medio,2,Topógrafo
